month,state,district_raw,pincode,IEI,IEI_rz,total_updates
2025-09-01,Jammu & Kashmir,Baramula,193301,0.4673529928957936,24.78465109363806,2.0
2025-12-01,Kerala,Kasaragod,671534,0.5089795622285325,23.29572423091953,3.0
2025-11-01,West Bengal,East Midnapore,721467,0.4771018986983889,23.194873594978198,9.0
2025-12-01,Madhya Pradesh,Shivpuri,475001,0.4450833348748975,22.32351044603326,8.0
2025-12-01,Uttar Pradesh,Mau,276131,0.31013145774768397,21.202994807710347,2.0
2025-11-01,Uttar Pradesh,Mainpuri,215126,0.5869066406629366,20.97934009290482,4.0
2025-12-01,West Bengal,Bardhaman,713145,0.5247376315661,20.192606525322063,3.0
2025-10-01,Chhattisgarh,Khairagarh Chhuikhadan Gandai,491444,0.6147472508348657,19.92016636985579,15.0
2025-10-01,Orissa,Kendrapara,754239,0.38184665565073284,19.78765365465619,2.0
2025-10-01,Andhra Pradesh,N. T. R,521214,0.44384402462177536,19.763224164089713,5.0
2025-11-01,Odisha,Cuttack,753007,0.5570787481729187,19.236476337262836,7.0
2025-12-01,Telangana,Suryapet,508214,0.3804879919472955,19.062236229413145,2.0
2025-12-01,Maharashtra,Raigad,402115,0.5208964726077495,18.478824095771273,4.0
2025-12-01,West Bengal,Malda,733142,0.6962500716631113,18.379573143773374,16.0
2025-09-01,Jharkhand,Giridih,829144,0.39180176329128197,17.293770913332473,3.0
2025-12-01,Maharashtra,Latur,413603,0.5325355102986464,17.152901571700475,3.0
2025-09-01,Jammu & Kashmir,Kupwara,193224,0.4673529928957936,17.029668327648782,2.0
2025-12-01,Tamil Nadu,Tirunelveli,627131,0.5259480604153424,16.93654449363993,3.0
2025-12-01,Maharashtra,Solapur,413112,0.5943650063439985,16.65117070104094,834.0
2025-12-01,West Bengal,Uttar Dinajpur,733150,0.5620693239283254,16.577753355769318,27.0
2025-09-01,Karnataka,Uttara Kannada,581305,0.43021949705654833,16.57329038875982,6.0
2025-09-01,Orissa,Jagatsinghapur,754113,0.38184665565073284,16.502619819003517,2.0
2025-12-01,West Bengal,East Midnapore,721130,0.4190781945517093,16.46072970306512,4.0
2025-11-01,West Bengal,Barddhaman,713158,0.620766229468872,16.368700332386613,42.0
2025-12-01,Uttar Pradesh,Moradabad,244221,0.46921316000235597,16.110915099222147,7.0
2025-12-01,Jharkhand,Godda,816102,0.6638720444381907,16.10514949107865,57.0
2025-12-01,West Bengal,Barddhaman,713158,0.6142519243879313,15.852341420119465,15.0
2025-11-01,Tamil Nadu,Tenkasi,627951,0.5053199941245446,15.801655951256185,3.0
2025-12-01,West Bengal,Purba Bardhaman,712248,0.4022082406408889,15.676609597713464,2.0
2025-11-01,Andhra Pradesh,Medak,502257,0.4933539480124492,15.487341177744776,3.0
2025-12-01,West Bengal,Paschim Bardhaman,713130,0.4767235986909172,15.484869987353962,3.0
2025-12-01,Maharashtra,Washim,444405,0.5988797758639736,15.43765376838181,5.0
2025-12-01,Telangana,Hyderabad,500022,0.1360206498038674,15.009434074236447,1.0
2025-10-01,Andhra Pradesh,Mahabub Nagar,509412,0.44355311427510236,14.893327934444745,3.0
2025-11-01,Uttar Pradesh,Mau,276137,0.12262114057382073,14.822268812058818,1.0
2025-12-01,Odisha,Anugul,759116,0.32910295270505724,14.65382498894031,2.0
2025-12-01,Jammu & Kashmir,Jammu,181111,0.5967593904621523,14.64128367375862,5.0
2025-12-01,Karnataka,Dakshina Kannada,574274,0.5348993682217192,14.121298839346263,6.0
2025-12-01,Uttarakhand,Tehri Garhwal,249125,0.6702177664414367,13.939321569244667,182.0
2025-11-01,Gujarat,Surat,394130,0.6804573811237058,13.613405742796209,572.0
2025-09-01,Karnataka,Bengaluru,560028,0.6011081868380612,13.57855506992713,14.0
2025-12-01,Punjab,Muktsar,152115,0.5354993866215545,13.506273560624823,4.0
2025-12-01,West Bengal,Hooghly,713408,0.3314291262721344,13.44189629356354,2.0
2025-11-01,Telangana,Nagarkurnool,509301,0.6363075925613207,13.421785698414649,10.0
2025-11-01,Jharkhand,Godda,816102,0.6291138358837389,13.412658888719195,297.0
2025-12-01,Gujarat,Gir Somnath,362130,0.3224996319915917,13.386398862783198,2.0
2025-09-01,Jharkhand,Pakaur,816117,0.29513272294377596,13.152473862572641,2.0
2025-12-01,Sikkim,Namchi,737121,0.4081479037879585,13.082990315625489,4.0
2025-12-01,Kerala,Thrissur,680618,0.5592470202474337,13.050702655132719,9.0
2025-12-01,Tamil Nadu,Thiruvallur,600062,0.4709239537845009,12.963765225070693,5.0
2025-12-01,Gujarat,Ahmadabad,382463,0.3171302871131635,12.911918710486697,2.0
2025-12-01,Orissa,Jajapur,755003,0.449375562848584,12.727881444003142,2.0
2025-12-01,Gujarat,Ahmadabad,380006,0.4525981956966125,12.678786795032803,18.0
2025-12-01,Madhya Pradesh,Narmadapuram,461005,0.466551747619068,12.667921261987296,3.0
2025-12-01,Uttar Pradesh,Sultanpur,227811,0.4491400923054918,12.58822885039074,3.0
2025-12-01,Assam,Kamrup,781015,0.6096526275429202,12.55276508072115,8.0
2025-12-01,Bihar,Gopalganj,841503,0.6266910832590279,12.54884616309958,1117.0
2025-12-01,West Bengal,Hugli,712222,0.5910442248497965,12.40421864694826,4.0
2025-12-01,Maharashtra,Aurangabad,400009,0.33604466093961044,12.325896900874719,2.0
2025-11-01,West Bengal,Cooch Behar,735302,0.3646490509903323,12.236258836923609,2.0
2025-11-01,Orissa,Anugul,759100,0.7073777742242172,12.204429576517395,5.0
2025-09-01,West Bengal,Purba Bardhaman,712405,0.40822353219468144,12.17839317203205,3.0
2025-09-01,Uttar Pradesh,Basti,272131,0.673637975714444,12.108676862016626,1187.0
2025-10-01,Andhra Pradesh,Hyderabad,500031,0.5617671681808305,12.072202694082192,4.0
2025-09-01,Telangana,Warangal (urban),505476,0.47403104034583765,12.039402374716177,11.0
2025-10-01,Andhra Pradesh,Eluru,507121,0.5104360138361698,11.927076931050903,11.0
2025-09-01,Madhya Pradesh,Burhanpur,451115,0.2814582123113556,11.85490125987381,2.0
2025-09-01,Gujarat,Dohad,389175,0.632413382969552,11.630781852977243,36.0
2025-09-01,Madhya Pradesh,Hoshangabad,461110,0.6756269138288545,11.59345249272355,18.0
2025-11-01,Rajasthan,Jhunjhunu,333701,0.5827565423182812,11.588517221964738,5.0
2025-12-01,Karnataka,Davanagere,577513,0.32967307517649164,11.534063348642764,2.0
2025-09-01,Maharashtra,Solapur,413214,0.6259021618993751,11.332690560426053,273.0
2025-12-01,West Bengal,North Twenty Four Parganas,743287,0.5229311882853568,11.322223566670598,3.0
2025-12-01,Tamil Nadu,Tiruppur,641402,0.4510637741309822,11.243294187012639,3.0
2025-09-01,Karnataka,Shimoga,577213,0.3888009339972366,11.210403770975372,3.0
2025-09-01,Gujarat,Gandhinagar,382045,0.3875132354712711,11.16176863766933,3.0
2025-09-01,Goa,South Goa,403719,0.5965657303010138,11.082778223907027,6.0
2025-11-01,Karnataka,Bengaluru,560028,0.5703798570545383,11.033822418191122,16.0
2025-09-01,West Bengal,Kalimpong,734320,0.47784856274134574,11.026564590343629,4.0
2025-11-01,West Bengal,Bankura,722209,0.5286116788756458,11.025848102112112,31.0
2025-10-01,Tamil Nadu,Kancheepuram,603101,0.6031884331922892,10.966816561093795,61.0
2025-10-01,Karnataka,Kodagu,571253,0.6148908270768594,10.960366946553584,90.0
2025-12-01,Jharkhand,Pashchimi Singhbhum,833218,0.3567005801361685,10.903933585499498,2.0
2025-11-01,Tamil Nadu,Kancheepuram,603101,0.6005017952643539,10.8328096796857,96.0
2025-12-01,West Bengal,Kolkata,700048,0.531507122703449,10.82215669348092,9.0
2025-12-01,Orissa,Cuttack,754100,0.4422986196502019,10.80233485998228,2.0
2025-12-01,Odisha,Khordha,754008,0.37657827103029484,10.696068475219132,2.0
2025-11-01,Andhra Pradesh,K.V.Rangareddy,501301,0.5299096219494883,10.633466046791447,4.0
2025-12-01,Assam,West Karbi Anglong,782410,0.6625011501106253,10.629944066521029,8.0
2025-12-01,Uttar Pradesh,Unnao,209308,0.3388819716780962,10.56833132954924,2.0
2025-12-01,Tamil Nadu,Chengalpattu,603319,0.6763145781722725,10.546092297194022,6.0
2025-11-01,Odisha,Kendrapara,754248,0.7352680472496836,10.520643075715672,261.0
2025-10-01,Telangana,Suryapet,508212,0.6278895755859497,10.519122736019861,498.0
2025-12-01,Assam,Dhemaji,784164,0.16629758912142864,10.51411760081242,1.0
2025-12-01,Karnataka,Chamarajanagar,571457,0.350267943148515,10.486342707072469,2.0
2025-11-01,Orissa,Khordha,751025,0.6699584500333056,10.277785042881368,4.0
2025-09-01,Tamil Nadu,Kallakurichi,605766,0.6087991273396219,10.257633959202588,24.0
2025-12-01,Chhatisgarh,Raipur,493889,0.6445341768906719,10.256740781410592,2.0
2025-05-01,Punjab,Mansa,151501,0.7046460474947307,10.246891565968825,1257.0
2025-12-01,West Bengal,Barddhaman,713338,0.6352717035950923,10.134620813095044,127.0
2025-09-01,Jharkhand,Palamu,829201,0.39180176329128197,10.116129856009776,3.0
2025-11-01,Tamil Nadu,Kallakurichi,607101,0.33120762465849757,10.08820134981126,2.0
2025-12-01,Maharashtra,Solapur,413214,0.6086650668891062,10.067195553843108,273.0
2025-09-01,Punjab,Nawanshahr,144532,0.35984752779553447,10.04503647664267,5.0
2025-10-01,Uttar Pradesh,Unnao,209864,0.6798475322813822,10.031364249216207,33.0
2025-11-01,Karnataka,Chickmagalur,577127,0.5530144120512561,9.99241651562341,23.0
2025-10-01,West Bengal,Haora,711104,0.5059730957507681,9.923745458953,90.0
2025-12-01,Jharkhand,Kodarma,825132,0.3321899560234628,9.903101907667892,2.0
2025-12-01,Uttar Pradesh,Sultanpur,227801,0.4117664107717641,9.884911454949092,2.0
2025-10-01,Karnataka,Vijayanagara,583126,0.6749732198155874,9.729360837680368,68.0
2025-12-01,Uttarakhand,Tehri Garhwal,249141,0.5322507342975424,9.71766221820741,3.0
2025-11-01,Tamil Nadu,Coimbatore,641652,0.3801724891763734,9.698745673039758,2.0
2025-12-01,Maharashtra,Osmanabad,413505,0.5901625838913241,9.59553339262473,1008.0
2025-10-01,Uttar Pradesh,Basti,272131,0.6304165654011266,9.586492416800725,730.0
2025-10-01,Karnataka,Vijayanagara,583135,0.6894896270178588,9.528645406165708,137.0
2025-10-01,Odisha,Kendrapara,754248,0.7152254403943465,9.523030159096093,197.0
2025-12-01,Andhra Pradesh,Alluri Sitharama Raju,533352,0.396056280133467,9.519541241633354,2.0
2025-10-01,Karnataka,Bengaluru,560028,0.5519240597536095,9.505425973074914,11.0
2025-12-01,Rajasthan,Dausa,303602,0.14617496587964032,9.478339293999548,1.0
2025-11-01,Andhra Pradesh,Medak,502311,0.5414522137287925,9.432470302881885,38.0
2025-09-01,Tamil Nadu,Tenkasi,627757,0.6489611591030214,9.39318177647715,10.0
2025-11-01,Orissa,Jajapur,754296,0.24217634338019295,9.363090528730146,1.0
2025-11-01,Uttar Pradesh,Unnao,209864,0.6568336440718727,9.350097463637312,100.0
2025-04-01,Punjab,Ludhiana,141007,0.7598046052426298,9.330359071148907,5044.0
2025-11-01,Tamil Nadu,Ranipet,632507,0.6041430619427429,9.318556201034166,7.0
2025-12-01,Uttar Pradesh,Unnao,209864,0.6554715704815534,9.309776789088481,152.0
2025-12-01,Himachal Pradesh,Solan,173204,0.5992572267547757,9.308138447397846,10.0
2025-12-01,Maharashtra,Sindhudurg,416806,0.5519509307413102,9.264057097442459,44.0
2025-11-01,Madhya Pradesh,Shajapur,456440,0.5377868312016254,9.26274669618088,9.0
2025-09-01,Tamil Nadu,Kancheepuram,603101,0.5687308644697827,9.248106616074608,77.0
2025-12-01,Uttarakhand,Garhwal,246164,0.36054091391025306,9.224240201785877,2.0
2025-12-01,Andhra Pradesh,Mahbubnagar,509352,0.4583563311949354,9.212070201439694,17.0
2025-11-01,Tamil Nadu,Mayiladuthurai,609401,0.49737549414673543,9.126737178080496,8.0
2025-12-01,Chhattisgarh,Manendragarh–Chirmiri–Bharatpur,497335,0.5611707868420813,9.108817475238054,11.0
2025-10-01,West Bengal,Maldah,732208,0.5657510637461102,9.08994009309185,22.0
2025-11-01,Karnataka,Belgaum,590011,0.5132386266714004,9.049141461961788,9.0
2025-10-01,Assam,Barpeta,781312,0.6630485806884462,8.966599665721688,152.0
2025-12-01,Odisha,Jajapur,756121,0.4107386221392992,8.93100043694371,2.0
2025-12-01,Maharashtra,Satara,415107,0.6182527637182856,8.92007056634433,42.0
2025-09-01,West Bengal,Jalpaiguri,735222,0.5718848811734096,8.850367846974724,317.0
2025-10-01,Uttarakhand,Rudraprayag,246469,0.6739472777759283,8.843839696599845,24.0
2025-12-01,Maharashtra,Ahmadnagar,413728,0.629640409779388,8.821277816499574,682.0
2025-12-01,Tamil Nadu,Kancheepuram,603101,0.5590369513644521,8.76458367821274,80.0
2025-12-01,Tamil Nadu,Chennai,600104,0.3401500988718764,8.75929445486456,2.0
2025-12-01,Jharkhand,Sahibganj,816108,0.5540790626327662,8.67491259147019,8.0
2025-12-01,Orissa,Cuttack,754025,0.41945478981277223,8.653503282772771,2.0
2025-10-01,Uttar Pradesh,Amethi,229303,0.2720153759488567,8.610097497513523,2.0
2025-10-01,Maharashtra,Raigarh,410221,0.5937628203441185,8.60601858704366,359.0
2025-12-01,Tamil Nadu,Dharmapuri,635101,0.41992682314477836,8.592181860470882,3.0
2025-10-01,West Bengal,North 24 Parganas,743195,0.6459748496179138,8.577777840872068,4.0
2025-12-01,Orissa,Anugul,759104,0.5876362974240024,8.566739656880925,3.0
2025-12-01,West Bengal,Jalpaiguri,735207,0.5498100461569317,8.560673387785515,92.0
2025-09-01,West Bengal,South 24 Parganas,700153,0.6024422035737301,8.547001722629998,85.0
2025-12-01,Maharashtra,Osmanabad,413607,0.530336771099664,8.539344728404949,8.0
2025-05-01,Andhra Pradesh,Sri Potti Sriramulu Nellore,524004,0.6413719425070163,8.539231350354786,1145.0
2025-09-01,Andhra Pradesh,Alluri Sitharama Raju,531111,0.6529531437837193,8.534559104561524,119.0
2025-11-01,Andhra Pradesh,Alluri Sitharama Raju,531111,0.6522969126228945,8.50162324471716,155.0
2025-12-01,Madhya Pradesh,Shivpuri,475220,0.34905064643182665,8.48828312399157,2.0
2025-12-01,Uttarakhand,Pauri Garhwal,246147,0.6023262681838372,8.472485984241521,55.0
2025-12-01,Karnataka,Chamrajnagar,571444,0.584393467153078,8.447864196018173,16.0
2025-10-01,Jammu & Kashmir,Jammu,181102,0.670249910377445,8.42828942258186,5.0
2025-09-01,West Bengal,Paschim Medinipur,721127,0.6996945553019313,8.42687749922927,2463.0
2025-11-01,Andhra Pradesh,Y. S. R,516259,0.5679341104723883,8.391731339364656,17.0
2025-11-01,Maharashtra,Mumbai City,400035,0.5082521658111552,8.36526801935087,4.0
2025-10-01,Andhra Pradesh,Ananthapur,515291,0.6576728173918407,8.353189504901868,18.0
2025-09-01,Punjab,Amritsar,143103,0.6512613541497789,8.352768059180105,195.0
2025-12-01,Maharashtra,Satara,415014,0.6833503138030113,8.31756728989759,500.0
2025-11-01,Uttarakhand,Pauri Garhwal,246147,0.5969896366083102,8.277280045277086,124.0
2025-09-01,Madhya Pradesh,Damoh,470441,0.2814582123113556,8.208685449351039,2.0
2025-09-01,Uttar Pradesh,Bahraich,271851,0.7807561883727197,8.13150656704585,2721.0
2025-10-01,West Bengal,Hooghly,712706,0.6593392361107755,8.12931485149067,396.0
2025-12-01,Maharashtra,Sangli,415307,0.6052563962403724,8.097335781372342,206.0
2025-09-01,Jharkhand,Pashchimi Singhbhum,832107,0.29513272294377596,8.08956530593315,2.0
2025-09-01,Jharkhand,Pakur,816104,0.6655622807924491,8.078501749574519,1402.0
2025-11-01,Assam,Goalpara,783133,0.5075379498836033,8.076070162262033,4.0
2025-09-01,Uttarakhand,Pauri Garhwal,246147,0.591039555779164,8.059635057286124,39.0
2025-12-01,Andhra Pradesh,K.v. Rangareddy,500047,0.47383009350781585,8.056336528198354,4.0
2025-12-01,Maharashtra,Ahmed Nagar,422603,0.5924171935657571,8.04741399577686,61.0
2025-09-01,West Bengal,North Twenty Four Parganas,700155,0.4532010838331331,8.04036372753556,29.0
2025-11-01,Maharashtra,Satara,415107,0.5950106257278468,8.00080086320223,293.0
2025-11-01,West Bengal,Bardhaman,713380,0.49896883390148017,7.986765318424799,16.0
2025-09-01,Uttar Pradesh,Balrampur,271215,0.6795182828391175,7.976456004439131,586.0
2025-12-01,West Bengal,East Midnapore,721430,0.5723658929954825,7.947526290628019,26.0
2025-12-01,Uttar Pradesh,Basti,272131,0.6021738283334278,7.9383881183502,1392.0
2025-12-01,Orissa,Mayurbhanj,757020,0.44095936211887443,7.92691127165101,2.0
2025-11-01,Andaman & Nicobar Islands,Andamans,744207,0.40508844285008483,7.916909503834566,2.0
2025-09-01,Andhra Pradesh,Kakinada,533260,0.6416943724572113,7.864913438597239,12.0
2025-09-01,Tamil Nadu,Vellore,631152,0.2866408570573023,7.859716138957619,2.0
2025-12-01,Karnataka,Bellary,583135,0.6035305254989668,7.831260510740501,304.0
2025-11-01,Uttar Pradesh,Basti,272131,0.5994017380966028,7.776622853742427,1193.0
2025-11-01,Andhra Pradesh,Mahabub Nagar,509376,0.5553006028716567,7.773167627161123,4.0
2025-09-01,Mizoram,Mamit,796421,0.6269455856072358,7.751546887049293,4.0
2025-09-01,Telangana,Suryapet,508212,0.5860592481128721,7.72944742136975,557.0
2025-12-01,Karnataka,Chikkamagaluru,577114,0.5101519929244429,7.65861459733509,3.0
2025-12-01,Jammu & Kashmir,Jammu,181205,0.6609791024089724,7.657399920041797,3.0
2025-09-01,Maharashtra,Jalgaon,425121,0.2863531994392778,7.653733888969044,2.0
2025-11-01,Gujarat,Surat,394326,0.618809073172223,7.647860323281544,185.0
2025-10-01,West Bengal,North Twenty Four Parganas,700136,0.5564303966476112,7.618796931366629,7.0
2025-12-01,Maharashtra,Ahmadnagar,423604,0.6102195779058102,7.597360454848594,84.0
2025-09-01,Odisha,Cuttack,754118,0.2891814058970868,7.594230949809784,2.0
2025-12-01,Kerala,Kasargod,671322,0.535263185555851,7.576600886427145,15.0
2025-12-01,Bihar,Saran,841401,0.6134316881689297,7.568074062692197,815.0
2025-10-01,Karnataka,Chamarajanagar,571439,0.5725800881972565,7.5590385261893305,5.0
2025-10-01,West Bengal,Nadia,741252,0.5307731033399139,7.55552922957241,3.0
2025-10-01,Andhra Pradesh,Khammam,507125,0.5028965692400374,7.5422491503879385,10.0
2025-11-01,Madhya Pradesh,Narmadapuram,461122,0.6739498702835737,7.483165020214801,9.0
2025-12-01,Maharashtra,Nagpur,441112,0.620223916650761,7.471848246683548,172.0
2025-12-01,Uttar Pradesh,Farrukhabad,207503,0.6533662899876522,7.431970720186919,795.0
2025-09-01,West Bengal,Purba Medinipur,721457,0.40822353219468144,7.398405726939737,3.0
2025-11-01,Maharashtra,Ahmadnagar,413728,0.5934956803125125,7.380253985862002,1333.0
2025-11-01,Madhya Pradesh,Bhind,476335,0.34453496551209684,7.348112198413723,2.0
2025-12-01,Maharashtra,Thane,401502,0.5057518032001893,7.346246573263184,72.0
2025-12-01,Maharashtra,Wardha,442203,0.5789345353531083,7.334704135008184,1126.0
2025-05-01,Bihar,Bhagalpur,853201,0.6781458598529432,7.3199417891317,845.0
2025-12-01,Bihar,Pashchim Champaran,845451,0.527465727368511,7.316934453216242,6.0
2025-11-01,West Bengal,KOLKATA,700063,0.41186654797901995,7.305458938112111,12.0
2025-12-01,Karnataka,Chamrajnagar,571442,0.6227622093313259,7.30429217375889,52.0
2025-11-01,West Bengal,Paschim Bardhaman,713384,0.5869489060946707,7.2600131562180374,8.0
2025-12-01,Rajasthan,Deeg,321303,0.4426734310813457,7.188530316416728,9.0
2025-11-01,Assam,Sonitpur,784189,0.653364597861452,7.168161090490262,8.0
2025-12-01,Tamil Nadu,Coimbatore,642126,0.554702546672965,7.155502245664888,5.0
2025-09-01,West Bengal,Howrah,711314,0.6065743933478255,7.150820433402389,654.0
2025-12-01,West Bengal,Hugli,712221,0.5001151071631531,7.135729842053712,3.0
2025-09-01,Tamil Nadu,Sivaganga,630207,0.618574249527773,7.088469296049571,30.0
2025-12-01,Chhattisgarh,Bilaspur,495118,0.614450808929449,7.080264490573138,3198.0
2025-11-01,West Bengal,Paschim Bardhaman,713428,0.5299384101449859,7.070805720603431,6.0
2025-12-01,West Bengal,Darjeeling,734214,0.5995356039764532,7.041223687171165,254.0
2025-10-01,Sikkim,East Sikkim,737134,0.652003527559206,7.026287352344217,36.0
2025-09-01,Uttar Pradesh,Agra,202412,0.2720153759488567,6.999271976917922,2.0
2025-09-01,Maharashtra,Ahmadnagar,423604,0.5957563172819929,6.963787875903527,104.0
2025-09-01,Rajasthan,Bundi,323602,0.639547727240279,6.954820474269945,555.0
2025-10-01,Telangana,K.v. Rangareddy,509410,0.676447685937623,6.952129723642041,271.0
2025-12-01,Punjab,Barnala,148020,0.5098787564847944,6.945683180101201,6.0
2025-12-01,Jammu and Kashmir,Doda,182124,0.48184740798067344,6.929048725402781,3.0
2025-09-01,Maharashtra,Mumbai City,400064,0.6182989019001203,6.927364439403172,28.0
2025-10-01,West Bengal,North 24 Parganas,700116,0.5094537068059429,6.916953254669189,36.0
2025-10-01,West Bengal,Paschim Bardhaman,713128,0.5476062892033893,6.9032116420366165,3.0
2025-09-01,West Bengal,Howrah,711416,0.528894011825837,6.885706215686855,126.0
2025-09-01,Jharkhand,Godda,816102,0.5442582112260007,6.839449812354447,95.0
2025-12-01,Orissa,Ganjam,761010,0.4674543489843841,6.837009421529374,2.0
2025-12-01,Orissa,Anugul,759123,0.6902858955776124,6.834449329734908,5.0
2025-12-01,Orissa,Bhadrak,756171,0.4289316839626656,6.827490595810206,2.0
2025-10-01,Jammu & Kashmir,Jammu,180002,0.7857828155037276,6.806434982009961,7.0
2025-10-01,Karnataka,Bellary,583135,0.5955954565075664,6.8026561302351904,156.0
2025-10-01,Himachal Pradesh,Kangra,176083,0.6289185614842331,6.798033042586341,93.0
2025-09-01,Odisha,Nayagarh,752064,0.38567177499131716,6.78742998712141,3.0
2025-11-01,Nagaland,Zunheboto,798619,0.6459992930927175,6.78737329339732,81.0
2025-09-01,Karnataka,Kodagu,571253,0.5667365155981836,6.765195437074519,87.0
2025-12-01,Jharkhand,Ranchi,835302,0.21689070981959135,6.7644888069008875,3.0
2025-12-01,Maharashtra,Raigarh(MH),402109,0.4029683726014829,6.734173358543584,2.0
2025-10-01,Tamil Nadu,Mayiladuthurai,609402,0.598237311165947,6.706108742402231,10.0
2025-09-01,Assam,Barpeta,781312,0.6111801739337455,6.701461903195628,146.0
2025-12-01,Maharashtra,Solapur,413324,0.5863532871049272,6.697881368918864,422.0
2025-12-01,Chhattisgarh,Bilaspur,495003,0.3668823852363391,6.6952299794382135,2.0
2025-11-01,Madhya Pradesh,Shivpuri,475115,0.6335144643463366,6.678749119777279,7.0
2025-12-01,West Bengal,South Dinajpur,733155,0.5397294139278759,6.676293641702051,24.0
2025-09-01,West Bengal,East Midnapore,721653,0.40822353219468144,6.658873016256265,3.0
2025-11-01,Chhattisgarh,Bilaspur,495118,0.6024707847405042,6.656645301402274,1701.0
2025-10-01,Punjab,Shaheed Bhagat Singh Nagar,144513,0.6205857358581852,6.656621639048646,17.0
